排名,影片名,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
1.,人再囧途之泰囧,喜剧,100303,32,57,中国,2012-12-12
2.,泰坦尼克号3D,爱情,94621,45,54,美国,2012-04-10
3.,画皮2,爱情,70210,41,37,中国/中国香港,2012-06-28
4.,碟中谍4,动作,67219,35,43,美国,2012-01-28
5.,少年派的奇幻漂流,剧情,57289,39,38,美国,2012-11-22
6.,复仇者联盟,科幻,56649,42,33,美国,2012-05-05
7.,十二生肖,动作,53527,41,50,中国/中国香港,2012-12-20
8.,黑衣人3,科幻,50343,41,29,美国,2012-05-25
9.,冰川时代4：大陆漂移,动画,44743,38,28,美国,2012-07-27
10.,地心历险记2：神秘岛,科幻,38652,42,31,美国,2012-02-10
11.,一九四二,战争,36994,37,31,中国/中国香港,2012-11-29
12.,蝙蝠侠：黑暗骑士崛起,动作,33878,37,29,美国/英国,2012-08-27
13.,敢死队2,动作/惊悚,33158,33,26,美国/中国,2012-09-04
14.,超凡蜘蛛侠,科幻,31052,41,26,美国,2012-08-27
15.,超级战舰,动作/科幻,31011,34,31,美国,2012-04-18
16.,异星战场,科幻/动作,26009,40,25,美国,2012-03-16
17.,寒战,动作,25304,32,21,中国香港,2012-11-08
18.,听风者,剧情,23217,35,26,中国/中国香港,2012-08-07
19.,普罗米修斯,科幻,22321,40,23,美国,2012-09-02
20.,谍影重重4,动作,21315,33,22,美国,2012-10-25
21.,马达加斯加3,动画,20916,39,24,美国,2012-06-08
22.,四大名捕,动作,19182,33,23,中国/中国香港,2012-07-12
23.,大侦探福尔摩斯2,惊悚/动作,18806,33,37,美国,2012-01-15
24.,饥饿游戏,动作/科幻,17434,34,26,美国,2012-06-14
25.,大魔术师,爱情,17363,34,33,中国/中国香港,2012-01-12
1.,西游降魔篇,奇幻,124699,40,41,中国/中国香港,2013-02-10
2.,钢铁侠3,科幻,75486,42,33,美国/中国,2013-05-01
3.,致我们终将逝去的青春,爱情,71910,32,36,中国,2013-04-26
4.,环太平洋,科幻,69465,40,38,美国,2013-07-31
5.,狄仁杰之神都龙王,动作,60078,40,30,中国,2013-09-28
6.,私人订制,喜剧,58872,36,35,中国/中国香港,2013-12-19
7.,中国合伙人,爱情,53879,32,27,中国/中国香港,2013-05-17
8.,北京遇上西雅图,爱情,51975,32,31,中国/中国香港,2013-03-21
9.,小时代,爱情,48436,32,32,中国,2013-06-27
10.,地心引力,科幻,43553,41,23,美国,2013-11-19
11.,速度与激情6,动作,41330,33,33,美国,2013-07-26
12.,疯狂原始人,动画,39472,37,28,美国,2013-04-20
13.,超人：钢铁之躯,动作,39449,41,28,美国,2013-06-20
14.,007：大破天幕杀机,动作,37613,35,29,美国,2013-01-21
15.,星际迷航：暗黑无界,科幻,35294,41,23,美国,2013-05-28
16.,侏罗纪公园,科幻,34886,38,26,美国,2013-08-20
17.,十二生肖,动作,34588,39,27,中国/中国香港,2012-12-20
18.,警察故事2013,动作,34537,40,32,中国/中国香港,2013-12-24
19.,雷神2：黑暗世界,动作,34240,39,22,美国,2013-11-08
20.,特种部队2：全面反击,动作,33806,40,25,美国,2013-04-15
21.,霍比特人1：意外旅程,魔幻,31579,44,27,美国,2013-02-22
22.,风暴,动作,30828,39,23,中国/中国香港,2013-12-12
23.,天机·富春山居图,动作,30032,39,24,中国/中国香港,2013-06-09
24.,小时代2：青木时代,爱情,29590,31,29,中国/中国台湾,2013-08-08
25.,一代宗师,动作,28784,36,25,中国/中国香港,2013-01-08
1.,变形金刚4：绝迹重生,科幻,197756,42,50,美国/中国,2014-06-27
2.,心花路放,喜剧,117002,34,36,中国,2014-09-30
3.,西游记之大闹天宫,魔幻,104560,42,40,中国/中国香港,2014-01-31
4.,星际穿越,科幻,75536,36,34,美国/英国,2014-11-12
5.,X战警：逆转未来,科幻,72296,37,29,美国,2014-05-23
6.,美国队长2：冬日战士,动作,71853,39,29,美国,2014-04-04
7.,猩球崛起2：黎明之战,科幻,70925,37,28,美国,2014-08-29
